RNC,Zone,Issue,Date,,,,
Q321005573-2,31,2,3,,,,
Q321005619-1,34,7,3,,,,
Q321005626-1,MTS,2,3,,,,
Q321005639-1,32,11,3,,,,
Q321005654-1,MTS,3,3,,,,
Q321005663-1,33,2,3,,,,
Q321005663-2,33,1,3,,,,
Q321005663-3,33,1,3,,,,
Q321005663-4,33,2,3,,,,
Q321005676-1,4,9,3,,,,
Q321005710-1,MTS,1,3,,,,
Q321005759-1,32,5,3,,,,
Q321005793-1,34,2,3,,,,
Q321005793-2,34,2,3,,,,
Q321005793-3,34,2,3,,,,
Q321005793-4,34,2,3,,,,
Q321005793-5,34,2,3,,,,
Q321005793-6,34,2,3,,,,
Q321005795-1,4,3,3,,,,
Q321005803-1,4,1,3,,,,
Q321005803-2,4,1,3,,,,
Q321005831-2,31,1,3,,,,
Q321005839-1,34,2,3,,,,
Q321005857-1,34,1,3,,,,
Q321005857-2,34,4,3,,,,
Q321005858-1,1,2,3,,,,
Q321005860-1,32,1,3,,,,
Q321005909-1,32,1,3,,,,
Q321005910-1,32,1,3,,,,
Q321005911-1,32,1,3,,,,
Q321005912-1,32,1,3,,,,
Q321005913-1,32,1,3,,,,
Q321005914-1,32,1,3,,,,
Q321005915-1,32,1,3,,,,
Q321005916-1,32,1,3,,,,
Q321005922-1,31,5,3,,,,
Q321005936-1,34,3,3,,,,
Q321005961-1,33,2,3,,,,
Q321005964-1,33,3,3,,,,
Q321005966-1,4,8,3,,,,
Q321005967-1,32,6,3,,,,
Q321005975-1,31,1,3,,,,
Q321005979-1,32,11,3,,,,
Q321005981-1,31,6,3,,,,
Q321005982-1,34,6,3,,,,
Q321005986-1,MTS,3,3,,,,
Q321005988-1,4,2,3,,,,
Q321006001-1,4,4,3,,,,
Q321006002-1,31,6,3,,,,
Q321006003-1,31,6,3,,,,
Q321006004-1,31,6,3,,,,
Q321006005-1,31,6,3,,,,
Q321006006-1,31,6,3,,,,
Q321006007-1,31,6,3,,,,
Q321006008-1,31,6,3,,,,
Q321006009-1,31,6,3,,,,
Q321006010-1,31,6,3,,,,
Q321006011-1,31,6,3,,,,
Q321006012-1,31,6,3,,,,
Q321006013-1,4,4,3,,,,
Q321006015-10,34,3,3,,,,
Q321006015-4,34,3,3,,,,
Q321006015-5,34,3,3,,,,
Q321006015-6,34,3,3,,,,
Q321006015-7,34,1,3,,,,
Q321006015-8,34,1,3,,,,
Q321006015-9,34,3,3,,,,
Q321006033-1,1,1,3,,,,
Q321006035-1,34,7,3,,,,
Q321006038-1,2,3,3,,,,
Q321006039-1,MTS,1,3,,,,
Q321006043-1,4,4,3,,,,
Q321006063-1,34,3,3,,,,
Q321006070-1,2,3,3,,,,
Q321006071-1,2,3,3,,,,
Q321006072-1,2,3,3,,,,
Q321006073-1,2,3,3,,,,
Q321006075-2,34,1,3,,,,
Q321006086-1,MTS,2,3,,,,
Q321006089-1,1,2,3,,,,
Q321006097-1,33,2,3,,,,
Q321006126-1,31,1,3,,,,
Q321006126-2,31,1,3,,,,
Q321006126-3,31,1,3,,,,
Q321006151-1,MTS,3,3,,,,
Q321006217-1,32,3,3,,,,
Q321006224-1,MTS,2,3,,,,
Q321006225-1,MTS,2,3,,,,
Q321006229-1,MTS,4,3,,,,
Q321006248-1,34,2,3,,,,
Q321006249-1,4,2,3,,,,
Q321006250-1,34,2,3,,,,
Q321006250-2,34,2,3,,,,
Q321006250-3,34,2,3,,,,
Q321006250-4,34,2,3,,,,
Q321006250-5,34,2,3,,,,
Q321006251-1,4,1,3,,,,
Q321006254-1,4,1,3,,,,
Q321006257-1,4,1,3,,,,
Q321006260-1,4,1,3,,,,
Q321006285-1,4,7,4,,,,
Q321006285-2,4,7,4,,,,
Q321006315-1,32,11,4,,,,
Q321006322-1,4,2,4,,,,
Q321006333-1,32,9,4,,,,
Q321006347-1,31,5,4,,,,
Q321006351-1,31,4,4,,,,
Q321006352-1,31,4,4,,,,
Q321006353-1,31,4,4,,,,
Q321006354-1,31,4,4,,,,
Q321006355-1,31,4,4,,,,
Q321006356-1,31,4,4,,,,
Q321006357-1,31,4,4,,,,
Q321006358-1,31,4,4,,,,
Q321006359-1,31,4,4,,,,
Q321006360-1,31,4,4,,,,
Q321006361-1,4,7,4,,,,
